Candid grant_strategy_tran,Tidied 5-digit purpose name,Tidied 3-digit sector name
Grassroots organizing; Outreach; General support; Continuing support,Multisector education/training,Other Multisector
Grassroots organizing; Outreach; General support; Litigation,Multisector education/training,Other Multisector
Grassroots organizing; Outreach; Public engagement and education; Advocacy; Continuing support,Multisector education/training,Other Multisector
"Grassroots organizing; Policy, advocacy and systems reform; General support; Continuing support; Capacity-building and technical assistance",Other Multisector,Other Multisector
"Grassroots organizing; Policy, advocacy and systems reform; Public engagement and education; General support",Multisector education/training,Other Multisector
"Grassroots organizing; Policy, advocacy and systems reform; Public engagement and education; Program support",Multisector education/training,Other Multisector
Grassroots organizing; Program support,Multisector education/training,Other Multisector
Grassroots organizing; Program support; Leadership and professional development; Conference hosting ,Multisector education/training,Other Multisector
Grassroots organizing; Public engagement and education; Advocacy,Other Multisector,Other Multisector
Grassroots organizing; Public engagement and education; Advocacy; Equal access; Information and Referral,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Public engagement and education; Advocacy; General support; Continuing support,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Public engagement and education; Advocacy; Management and leadership development; Ethics and accountability,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Public engagement and education; Capacity-building and technical assistance; Advocacy,Advanced technical and managerial training,Post-Secondary Education
"Grassroots organizing; Public engagement and education; Policy, advocacy and systems reform; Continuing support",Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Recordings; Online engagement; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Individual development,Other Multisector,Other Multisector
Information and Referral; Capacity-building and technical assistance,Education facilities and training,Education
Information and Referral; Equal access; Public engagement and education,Education facilities and training,Education
Information technology; Advocacy; Systems reform; Participatory grantmaking,Education facilities and training,Education
Information technology; Equipment,Education facilities and training,Education
Information technology; Online media; Financial services,Information services,Communications
Internships,Education facilities and training,Education
"Internships; Equal access; Policy, advocacy and systems reform; Public engagement and education; Program support",Education facilities and training,Education
Leadership and professional development,Other Multisector,Other Multisector
Leadership and professional development; Conference presenting; Research,Education facilities and training,Education
Leadership and professional development; Grassroots organizing; General support; Continuing support,Education facilities and training,Education
Litigation; General support,Advanced technical and managerial training,Post-Secondary Education
Litigation; General support; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Litigation; General support; Continuing support,Advanced technical and managerial training,Post-Secondary Education
Litigation; General support; Grassroots organizing; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
"Litigation; Policy, advocacy and systems reform; Continuing support; Equal access; Program support",Legal and judicial development,Government & Civil Society
"Litigation; Policy, advocacy and systems reform; Equal access; Ethics and accountability; Program support",Legal and judicial development,Government & Civil Society
"Litigation; Policy, advocacy and systems reform; Equal access; Program support",Legal and judicial development,Government & Civil Society
"Litigation; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
"Litigation; Policy, advocacy and systems reform; Public engagement and education; General support",Multisector education/training,Other Multisector
"Litigation; Policy, advocacy and systems reform; Public engagement and education; Program support",Multisector education/training,Other Multisector
Litigation; Program support,Multisector education/training,Other Multisector
Litigation; Systems reform; Advocacy,Multisector education/training,Other Multisector
Management and leadership development,Multisector education/training,Other Multisector
"Management and leadership development; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Management and leadership development; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Conferences and exhibits",Public sector policy and administrative management,Government & Civil Society
Marketing,Advanced technical and managerial training,Post-Secondary Education
Marketing; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Network-building and collaboration,Other Multisector,Other Multisector
Network-building and collaboration; Advocacy; Capacity-building and technical assistance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
"Network-building and collaboration; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Continuing support",Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Advanced technical and managerial training,Post-Secondary Education
"Network-building and collaboration; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Recordings",Public sector policy and administrative management,Government & Civil Society
Network-building and collaboration; Advocacy; Participatory grantmaking; Capacity-building and technical assistance; General support,Advanced technical and managerial training,Post-Secondary Education
Network-building and collaboration; Board development,Public sector policy and administrative management,Government & Civil Society
Network-building and collaboration; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
Network-building and collaboration; Capacity-building and technical assistance; Outreach; Systems reform; Equal access,Advanced technical and managerial training,Post-Secondary Education
Network-building and collaboration; Conferences and exhibits; Internships; Leadership and professional development,Education facilities and training,Education
"Network-building and collaboration; Continuing support; Convening; Conference hosting ; Product and service delivery; Policy, advocacy and systems reform",Education facilities and training,Education
Network-building and collaboration; Ethics and accountability,Public sector policy and administrative management,Government & Civil Society
Network-building and collaboration; Faculty and staff development,Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Policy, advocacy and systems reform; Public engagement and education; Conference hosting ",Other Multisector,Other Multisector
"Network-building and collaboration; Policy, advocacy and systems reform; Public engagement and education; Program support",Other Multisector,Other Multisector
Network-building and collaboration; Presentations and productions; Participatory grantmaking; Advocacy; Capacity-building and technical assistance; General support,Advanced technical and managerial training,Post-Secondary Education
Network-building and collaboration; Program support; Participatory grantmaking; Advocacy; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Network-building and collaboration; Public engagement and education; Conferences and exhibits,Public sector policy and administrative management,Government & Civil Society
Network-building and collaboration; Public engagement and education; Information technology,Public sector policy and administrative management,Government & Civil Society
"Network-building and collaboration; Regranting; Policy, advocacy and systems reform; Public engagement and education; Program support",Information and communication technology (ICT),Communications
Network-building and collaboration; Research; Participatory grantmaking; Advocacy; Litigation; Capacity-building and technical assistance; General support,Advanced technical and managerial training,Post-Secondary Education
"Online engagement; Advocacy; Equal access; Ethics and accountability; Litigation; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Online engagement; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Online engagement; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Conference attendance",Education facilities and training,Education
"Online engagement; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Continuing support",Education facilities and training,Education
"Online engagement; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
Online media,Multisector education/training,Other Multisector
Online media; Curriculum development,Advanced technical and managerial training,Post-Secondary Education
Online media; Financial services,Information and communication technology (ICT),Communications
Online media; Program support; Information and Referral; Capital and infrastructure,Media and free flow of information,Government & Civil Society
Online media; System and operational improvements; Information technology; Technical assistance,Media and free flow of information,Government & Civil Society
Outreach,Media and free flow of information,Government & Civil Society
Outreach; Advocacy,Media and free flow of information,Government & Civil Society
Outreach; Advocacy; Program support; Presentations and productions,Advanced technical and managerial training,Post-Secondary Education
Outreach; Network-building and collaboration,Multisector education/training,Other Multisector
"Outreach; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Outreach; Policy, advocacy and systems reform; Coalition building; Program support",Multisector education/training,Other Multisector
"Outreach; Policy, advocacy and systems reform; Program support; Public engagement and education; Network-building and collaboration; Capacity-building and technical assistance",Multisector education/training,Other Multisector
Outreach; Program support,Media and free flow of information,Government & Civil Society
Participatory grantmaking,Other Multisector,Other Multisector
Participatory grantmaking; Program support,Multisector education/training,Other Multisector
Pilot programs; Advocacy; Capacity-building and technical assistance; Conference attendance; Participatory grantmaking,Education facilities and training,Education
Pilot programs; Equal access,Education facilities and training,Education
"Policy, advocacy and systems reform",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Capacity-building and technical assistance",Advanced technical and managerial training,Post-Secondary Education
"Policy, advocacy and systems reform; Capacity-building and technical assistance; Continuing support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Capacity-building and technical assistance; Ethics and accountability; Program expansion",Advanced technical and managerial training,Post-Secondary Education
"Policy, advocacy and systems reform; Capacity-building and technical assistance; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Capacity-building and technical assistance; Public engagement and education; Publications; Equal access",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Capacity-building and technical assistance; Research and evaluation",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Continuing support",Education facilities and training,Education
"Policy, advocacy and systems reform; Continuing support; Program support; Online engagement; Equal access",Education facilities and training,Education
"Policy, advocacy and systems reform; Convening",Education facilities and training,Education
"Policy, advocacy and systems reform; Equal access",Education facilities and training,Education
"Policy, advocacy and systems reform; Equal access; Program support; Regulation and administration; Continuing support",Education facilities and training,Education
"Policy, advocacy and systems reform; Equal access; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
"Policy, advocacy and systems reform; Ethics and accountability",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Ethics and accountability; Public engagement and education",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Ethics and accountability; Research; General support; Continuing support",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; General support",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Internships",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Internships; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Network-building and collaboration",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Network-building and collaboration; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Nonprofit collaborations; Outreach",Educational research,Education
"Policy, advocacy and systems reform; Pilot programs; Outreach",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Product and service delivery; Program support",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Product and service delivery; Public engagement and education",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Advocacy; Ethics and accountability; Continuing support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Continuing support; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Equal access",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Information and Referral; Product and service delivery",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Network-building and collaboration",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Program support; Public engagement and education",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance",Advanced technical and managerial training,Post-Secondary Education
"Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Continuing support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Ethics and accountability",Other Multisector,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; General support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Nonprofit collaborations; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Online engagement; Continuing support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Product and service delivery",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Program support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Recordings; Capacity-building and technical assistance; Continuing support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Public engagement and education; Research; General support",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Publications; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Recordings",Multisector education/training,Other Multisector
"Policy, advocacy and systems reform; Research",Educational research,Education
"Policy, advocacy and systems reform; Research and evaluation",Educational research,Education
"Policy, advocacy and systems reform; Research and evaluation; Equal access",Educational research,Education
"Policy, advocacy and systems reform; Research and evaluation; Ethics and accountability",Educational research,Education
"Policy, advocacy and systems reform; Research; Program support",Educational research,Education
"Policy, advocacy and systems reform; Research; Regulation and administration",Educational research,Education
Postdoctoral support; Research,Educational research,Education
Presentations and productions,Other Multisector,Other Multisector
Presentations and productions; Building and renovations,Media and free flow of information,Government & Civil Society
Presentations and productions; Capacity-building and technical assistance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Presentations and productions; Equal access; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
Presentations and productions; General support,Advanced technical and managerial training,Post-Secondary Education
Presentations and productions; Online media,Advanced technical and managerial training,Post-Secondary Education
Presentations and productions; Program support; Data and measurement systems,Multisector education/training,Other Multisector
Presentations and productions; Public engagement and education; Advocacy,Education facilities and training,Education
Product and service delivery,Other Multisector,Other Multisector
Product and service delivery; Advocacy,Other Multisector,Other Multisector
"Product and service delivery; Advocacy; Equal access; Ethics and accountability; Litigation; Systems reform; Policy, advocacy and systems reform",Other Multisector,Other Multisector
"Product and service delivery; Advocacy; Equal access; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Product and service delivery; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
Product and service delivery; Capacity-building and technical assistance; Information and Referral,Public sector policy and administrative management,Government & Civil Society
Product and service delivery; Coalition building; Technical assistance,Public sector policy and administrative management,Government & Civil Society
Product and service delivery; Conference attendance,Public sector policy and administrative management,Government & Civil Society
"Product and service delivery; Equal access; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
Product and service delivery; General support,Public sector policy and administrative management,Government & Civil Society
Product and service delivery; Grassroots organizing,Public sector policy and administrative management,Government & Civil Society
Product and service delivery; System and operational improvements; Conference attendance,Public sector policy and administrative management,Government & Civil Society
Program creation,Public sector policy and administrative management,Government & Civil Society
Program creation; Capacity-building and technical assistance; Nonprofit collaborations,Other Multisector,Other Multisector
Program creation; Online media,Other Multisector,Other Multisector
"Program creation; Policy, advocacy and systems reform; Research",Other Multisector,Other Multisector
Program evaluations,Other Multisector,Other Multisector
"Program evaluations; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance",Other Multisector,Other Multisector
"Program evaluations; Capacity-building and technical assistance; Network-building and collaboration; Policy, advocacy and systems reform",Other Multisector,Other Multisector
Program evaluations; Equal access,Other Multisector,Other Multisector
Program evaluations; Outreach,Advanced technical and managerial training,Post-Secondary Education
"Program evaluations; Policy, advocacy and systems reform",Advanced technical and managerial training,Post-Secondary Education
"Program evaluations; Policy, advocacy and systems reform; Research",Advanced technical and managerial training,Post-Secondary Education
Program evaluations; Program support,Advanced technical and managerial training,Post-Secondary Education
Program evaluations; Research,Educational research,Education
Program evaluations; System and operational improvements; Technical assistance,Multisector education/training,Other Multisector
Program expansion,Other Multisector,Other Multisector
Program expansion; Advocacy; Capacity-building and technical assistance; Public engagement and education; Systems reform,Advanced technical and managerial training,Post-Secondary Education
Program expansion; Advocacy; Equal access; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
"Program expansion; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Advanced technical and managerial training,Post-Secondary Education
"Program expansion; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Equipment",Advanced technical and managerial training,Post-Secondary Education
Program expansion; Advocacy; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Program expansion; Capacity-building and technical assistance; Building and renovations; Faculty and staff development,Advanced technical and managerial training,Post-Secondary Education
Program expansion; Conference attendance; Advocacy; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program expansion; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
Program expansion; Equal access,Multisector education/training,Other Multisector
Program expansion; Participatory grantmaking,Multisector education/training,Other Multisector
Program support,Multisector education/training,Other Multisector
Program support; Advocacy,Multisector education/training,Other Multisector
Program support; Advocacy; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Advocacy; Capacity-building and technical assistance; Equal access,Advanced technical and managerial training,Post-Secondary Education
Program support; Advocacy; Capacity-building and technical assistance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Program support; Advocacy; Capacity-building and technical assistance; Public engagement and education; Grassroots organizing,Advanced technical and managerial training,Post-Secondary Education
Program support; Advocacy; Conference attendance,Multisector education/training,Other Multisector
Program support; Advocacy; Conference attendance; Network-building and collaboration,Multisector education/training,Other Multisector
Program support; Advocacy; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Conference attendance; Public engagement and education; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Continuing support,Multisector education/training,Other Multisector
Program support; Advocacy; Convening,Multisector education/training,Other Multisector
Program support; Advocacy; Equal access,Multisector education/training,Other Multisector
Program support; Advocacy; Equal access; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Advocacy; Equal access; Ethics and accountability; Systems reform,Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Online engagement",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Equipment",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration",Multisector education/training,Other Multisector
"Program support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Seed money; Equipment",Multisector education/training,Other Multisector
Program support; Advocacy; Equipment; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Information and Referral,Multisector education/training,Other Multisector
Program support; Advocacy; Information and Referral; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Network-building and collaboration; Systems reform; Public engagement and education,Multisector education/training,Other Multisector
Program support; Advocacy; Nonprofit collaborations,Multisector education/training,Other Multisector
Program support; Advocacy; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Product and service delivery; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Public engagement and education,Multisector education/training,Other Multisector
Program support; Advocacy; Seed money; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Systems reform,Multisector education/training,Other Multisector
Program support; Advocacy; Systems reform; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Systems reform; Conference attendance; Public engagement and education,Multisector education/training,Other Multisector
Program support; Advocacy; Systems reform; Grassroots organizing; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Systems reform; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Technical assistance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Advocacy; Technical assistance; Systems reform; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Advocacy,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Advocacy; Equipment; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Advocacy; Public engagement and education; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Advocacy; Seed money; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Coalition building,Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
"Program support; Capacity-building and technical assistance; Information and Referral; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Network-building and collaboration,Multisector education/training,Other Multisector
"Program support; Capacity-building and technical assistance; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Program support; Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Public engagement and education,Multisector education/training,Other Multisector
"Program support; Capacity-building and technical assistance; Public engagement and education; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Capacity-building and technical assistance; Research,Multisector education/training,Other Multisector
Program support; Capital and infrastructure; Equal access,Multisector education/training,Other Multisector
Program support; Commodity provision; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Conference attendance,Multisector education/training,Other Multisector
Program support; Conference attendance; Advocacy; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Capacity-building and technical assistance; Marketing; Financial sustainability; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Convening,Multisector education/training,Other Multisector
Program support; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Systems reform,Multisector education/training,Other Multisector
Program support; Conference attendance; Systems reform; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Technical assistance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Technical education support; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Conference attendance; Volunteer development; Outreach; Information technology,Multisector education/training,Other Multisector
Program support; Conference hosting ,Multisector education/training,Other Multisector
"Program support; Conferences and exhibits; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration",Multisector education/training,Other Multisector
Program support; Continuing support,Multisector education/training,Other Multisector
Program support; Continuing support; Advocacy,Multisector education/training,Other Multisector
Program support; Continuing support; Advocacy; Equal access,Multisector education/training,Other Multisector
Program support; Continuing support; Equal access,Multisector education/training,Other Multisector
Program support; Continuing support; Internships,Multisector education/training,Other Multisector
"Program support; Continuing support; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Continuing support; Public engagement and education; Equal access; Nonprofit collaborations; Systems reform,Multisector education/training,Other Multisector
Program support; Continuing support; Systems reform,Multisector education/training,Other Multisector
Program support; Continuing support; Systems reform; Grassroots organizing; Equal access; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Convening,Multisector education/training,Other Multisector
Program support; Convening; Advocacy; Continuing support,Multisector education/training,Other Multisector
"Program support; Convening; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Data and measurement systems; Equal access,Multisector education/training,Other Multisector
Program support; Equal access,Multisector education/training,Other Multisector
Program support; Equal access; Advocacy,Multisector education/training,Other Multisector
Program support; Equal access; Equipment,Multisector education/training,Other Multisector
Program support; Equal access; Ethics and accountability; Public engagement and education,Multisector education/training,Other Multisector
Program support; Equal access; Grassroots organizing; Outreach; Nonprofit collaborations,Multisector education/training,Other Multisector
"Program support; Equal access; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
Program support; Equal access; Public engagement and education,Multisector education/training,Other Multisector
Program support; Equal access; Public engagement and education; Online engagement,Multisector education/training,Other Multisector
Program support; Equipment,Multisector education/training,Other Multisector
Program support; Equipment; Equal access,Multisector education/training,Other Multisector
Program support; Equipment; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Ethics and accountability,Multisector education/training,Other Multisector
Program support; Ethics and accountability; Conferences and exhibits; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
Program support; Faculty and staff development,Multisector education/training,Other Multisector
"Program support; Faculty and staff development; Curriculum development; Policy, advocacy and systems reform; Public engagement and education",Advanced technical and managerial training,Post-Secondary Education
Program support; Faculty and staff development; Systems reform,Multisector education/training,Other Multisector
Program support; General support; Research,Multisector education/training,Other Multisector
Program support; Grassroots organizing; Advocacy; Capacity-building and technical assistance; Outreach,Multisector education/training,Other Multisector
Program support; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
Program support; Grassroots organizing; Systems reform; Public engagement and education; Equal access,Multisector education/training,Other Multisector
Program support; Individual development; Leadership and professional development,Multisector education/training,Other Multisector
Program support; Information technology; Research,Multisector education/training,Other Multisector
Program support; Internships,Multisector education/training,Other Multisector
Program support; Leadership and professional development,Multisector education/training,Other Multisector
Program support; Leadership and professional development; Advocacy,Multisector education/training,Other Multisector
Program support; Network-building and collaboration,Multisector education/training,Other Multisector
"Program support; Network-building and collaboration; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Network-building and collaboration; Public engagement and education,Multisector education/training,Other Multisector
Program support; Online media,Multisector education/training,Other Multisector
Program support; Pilot programs,Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Coalition building; Research",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Conference hosting ; Research and evaluation; Grassroots organizing; Regulation and administration; Publications",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Continuing support",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Data and measurement systems",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Equal access",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Equal access; Public engagement and education; Commodity provision",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Litigation; Public engagement and education",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Network-building and collaboration",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Nonprofit collaborations; Public engagement and education",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Outreach",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Outreach; Grassroots organizing",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Outreach; Nonprofit collaborations",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Public engagement and education; Ethics and accountability",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Public engagement and education; Litigation",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Public engagement and education; Research",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Recordings",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Regulation and administration",Multisector education/training,Other Multisector
"Program support; Policy, advocacy and systems reform; Research",Multisector education/training,Other Multisector
Program support; Presentations and productions; Publications,Multisector education/training,Other Multisector
Program support; Product and service delivery,Multisector education/training,Other Multisector
Program support; Product and service delivery; Advocacy; Systems reform,Multisector education/training,Other Multisector
Program support; Product and service development; Equal access; Public engagement and education,Multisector education/training,Other Multisector
Program support; Program creation,Multisector education/training,Other Multisector
Program support; Program expansion,Multisector education/training,Other Multisector
Program support; Public engagement and education,Multisector education/training,Other Multisector
Program support; Public engagement and education; Advocacy; Capacity-building and technical assistance,Multisector education/training,Other Multisector
"Program support; Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
